Carb.Volume,Fill.Ounces,PC.Volume,Carb.Pressure,PSC,PSC.Fill,PSC.CO2,Carb.Pressure1,Fill.Pressure,Hyd.Pressure1,Hyd.Pressure4,Temperature,Usage.cont,Carb.Flow,MFR,Pressure.Vacuum,PH,Oxygen.Filler,Bowl.Setpoint,Air.Pressurer
5.34,23.96666667,0.263333333,68.2,0.104,0.26,0.04,118.8,46,0,118,66,16.18,2932,725,-4,8.36,0.022,120,142.6
5.426666667,24.00666667,0.238666667,68.4,0.124,0.22,0.04,121.6,46,0,106,67.6,19.9,3144,726.8,-4,8.26,0.026,120,143
5.286666667,24.06,0.263333333,70.8,0.09,0.34,0.16,120.2,46,0,82,67,17.76,2914,735,-3.8,8.94,0.024,120,142
5.44,24.00666667,0.293333333,63,0.11786,0.42,0.04,115.2,46.4,0,92,65.6,17.42,3062,730.6,-4.4,8.24,0.03,120,146.2
5.486666667,24.31333333,0.111333333,67.2,0.026,0.16,0.12,118.4,45.8,0,92,65.6,17.68,3054,722.8,-4.4,8.26,0.03,120,146.2
5.38,23.92666667,0.269333333,66.6,0.09,0.24,0.04,119.6,45.6,0,116,66.2,23.82,2948,738.8,-4.4,8.32,0.024,120,146.6
5.313333333,23.88666667,0.268,64.2,0.128,0.4,0.04,122.2,51.8,0,124,65.8,20.74,30,353.71,-4.4,8.4,0.066,120,146.2
5.32,24.17333333,0.220666667,67.6,0.154,0.34,0.04,124.2,46.8,0,132,65.2,18.96,684,353.81,-4.4,8.38,0.046,120,146.4
5.246666667,23.98,0.262666667,64.2,0.132,0.12,0.14,120.8,46,0,90,65.4,18.4,2902,740.4,-4.4,8.38,0.064,120,147.2
5.266666667,24.00666667,0.231333333,72,0.014,0.24,0.06,119.8,45.2,0,108,66.6,13.5,3038,692.4,-4.4,8.5,0.022,120,146.2
5.32,23.92,0.258666667,66.2,0.078,0.18,0.04,119.6,46.6,0,94,65,19.04,3056,727,-4.4,8.34,0.03,120,146.2
5.353333333,24.06666667,0.251333333,61.6,0.11,0.18,0.02,119.2,46.6,0,86,65.4,18.44,3110,735,-4.4,8.34,0.058,120,146.8
5.22,23.89333333,0.267333333,63.4,0.114,0.38,0.0824,117.4,45.4,0,98,65,17.12,2870,729.6,-4.4,8.34,0.048,120,146
5.266666667,23.89333333,0.228666667,71.6,0.096,0.22,0.04,113.6,46,0,94,65,23.44,3040,731,-4.4,8.38,0.046,120,146.8
5.266666667,23.87333333,0.334,72.6,0.16,0.36,0.08,120.2,46.6,0,92,65,21.16,3056,732.4,-4.4,8.4,0.066,120,146.6
5.286666667,23.86666667,0.256666667,68,0.034,0.16,0.02,129,47.4,0,96,65.2,19.88,3290,731,-4.4,8.42,0.046,120,146
5.226666667,23.69333333,0.316666667,63.8,0.124,0.2,0.06,123.4,48.8,0,92,68.8,17.02,3200,295.8,-4.2,8.58,0.164,120,146.6
5.353333333,23.99333333,0.279333333,64.8,0.146,0.06,0.02,115.6,46.4,0,94,65.2,21.82,3082,726.4,-4,8.5,0.046,120,146.8
5.366666667,24.09333333,0.261333333,70.6,0.22,0.48,0.08,121.4,47,0,98,65.4,20.32,3324,535.8,-4,8.44,0.064,120,146.8
5.213333333,23.98666667,0.235333333,62.6,0.246,0.1,0.2,119.6,45.4,0,102,67.8,16.44,2970,731.8,-4,8.3,0.046,120,146.2
5.22,24.26,0.112,66.8,0.042,0.08,0.06,116.6,46.4,0,94,65.4,16.56,3090,726.4,-4.2,8.42,0.022,120,146.2
5.333333333,24.09333333,0.304666667,66,0.06,0.06,0.08,130.2,44.2,0,130,69.8,21.98,30,309.874,-4,8.48,0.154464,100,147
5.34,23.98666667,0.212,68.2,0.038,0.16,0.04,113.6,51.4,0,100,66.6,19.36,3418,519,-4.2,8.52,0.254,100,146.8
5.413333333,23.98666667,0.292666667,70,0.124,0.02,0.04,118.2,50.2,0,96,66,24,3206,732.6,-4.2,8.44,0.084,100,146.4
5.373333333,24.02,0.281333333,68,0.102,0.26,0.02,119.2,50,0,90,66.2,21.58,3220,734.4,-4.2,8.44,0.064,100,147.2
5.313333333,23.98666667,0.294,68.2,0.052,0.18,0.1,118,50,0,94,66,20.72,3206,732.8,-4.2,8.4,0.206,100,146.6
5.36,24.02666667,0.278,67,0.08,0.34,0.04,115.2,50.2,0,102,68.2,21.6,3168,740.4,-4.2,8.42,0.096,100,146.8
5.446666667,24.02,0.09,70.8,0.012,0.34,0.02,124.4,50,0,96,65.6,23.58,3138,729.4,-4.2,8.42,0.09,100,147
5.38,24.07333333,0.218,66.6,0.04,0.18,0.04,116.4,50,0,92,65.8,21.4,3212,731,-4.2,8.4,0.064,100,147.4
5.393333333,24.08666667,0.212,65.8,0.102,0.1,0.02,118.6,50,0,102,66.4,18.32,3164,734.2,-4.2,8.44,0.084,100,147
5.406666667,24.11333333,0.222,67.4,0.128,0.22,0.06,116.8,49.8,0,100,65.8,21.16,3194,731.6,-4.2,8.36,0.096,100,146.6
5.366666667,24.09333333,0.210666667,70.8,0.068,0.04,0.08,115.2,50.2,0,96,65.8,22.9,3182,731,-4.2,8.36,0.084,100,146.2
5.3,24.07333333,0.186,69.6,0.052,0.42,0.24,121.2,50.4,0,94,65.8,19.18,3214,730.6,-4.2,8.4,0.082,110,146.4
5.36,24.08,0.154666667,68.6,0.088,0.04,0.06,119.6,50,0,100,65.8,15.88,3198,740,-4.2,8.38,0.062,110,147
5.366666667,24.04666667,0.132666667,68.2,0.112,0.34,0.16,118,50.2,0,94,65.8,18.54,3220,733.8,-4.2,8.44,0.064,110,145.8
5.373333333,24.00666667,0.316,69.4,0.09922,0.28,0.02,120.4,49.8,0,96,67.4,19.98,3208,728.4,-4,8.36,0.064,110,146
5.346666667,23.98666667,0.228,68.8,0.164,0.26,0.06,121.4,43,0,120,67,13.66,1464,386.656,-4,8.4,0.08,120,148.2
5.373333333,24.01333333,0.2,65.2,0.112,0.34,0.02,116,50.2,0,96,66.4,21.98,3222,702.4,-4,8.38,0.06,120,147
5.326666667,24.06,0.239333333,75.8,0.08,0.08,0.02,117,45.8,0,94,66.6,18.12,2986,732.6,-3.8,8.36,0.082,120,145.8
5.273333333,23.86,0.112666667,65.6,0.05,0.1,0.04,119.4,45.8,0,92,67.2,13.78,2976,722,-3.8,8.28,0.062,120,146.2
5.34,23.9,0.295333333,62.2,0.106,0.2,0.08,118.6,41.6,0,120,67.2,18.4,3144,409.948,-3.8,8.26,0.046,120,146.2
5.266666667,23.96,0.310666667,69.2,0.15,0.18,0.02,116.4,45.8,0,96,67.2,16.32,2948,733.8,-3.8,8.28,0.082,120,145.8
5.46,24.17333333,0.179333333,66.8,0.092,0.32,0.12,117.4,45.8,0,84,66.2,16.98,3048,732.2,-4,8.4,0.152,120,146.2
5.513333333,23.97333333,0.227333333,72.6,0.134,0.22,0.02,131.8,44.6,0,78,66.2,20.48,2862,736,-4,8.46,0.116,120,145.8
5.513333333,23.98,0.232,72,0.092,0.34,0.08,119.4,45.6,0,74,66.2,20.36,2922,734.4,-4,8.4,0.152,120,145.6
5.493333333,24.13333333,0.202666667,68,0.07,0.34,0.1,115.4,46.2,0,72,66.4,23.86,2984,734.4,-4,8.42,0.116,120,147
5.513333333,24.1,0.258,73.4,0.028,0.04,0.06,120.4,45.8,0,80,67,23.3,2892,732.4,-4,8.56,0.126,120,146.8
5.58,24.04666667,0.231333333,71.6,0.042,0.14,0,124.4,40.4,0,108,71.2,23.16,28,356.288,-4,8.5,0.15,120,147
5.533333333,23.98,0.219333333,72,0.054,0.16,0.06,117.4,46.8,0,78,67,22.9,3078,733.6,-4,8.5,0.122,120,146
5.406666667,23.9374,0.166666667,66.6,0.136,0.16,0.24,120.4,46.8,0,138,66.4,19.78,30,372.45,-4,8.6,0.068,120,146
5.433333333,24.06666667,0.239333333,75.2,0.088,0.04,0.02,113.6,45.6,0,110,67.4,20.12,2940,732,-4,8.4,0.046,120,146.6
5.44,24.2,0.251333333,69.8,0.12,0.22,0.04,117.6,46.6,0,106,66.6,23.14,3048,748,-4.2,8.5,0.048,120,146
5.42,24.02,0.236,69.6,0.09,0.2,0.04,118.2,46.4,0,118,68.4,20.64,3018,716,-4.2,8.5,0.03,120,146
5.44,24,0.214666667,70,0.082,0.12,0.04,115.4,46.4,0,106,67.6,16.4,3044,729.2,-4.2,8.46,0.064,120,145.6
5.313333333,24.06,0.240666667,71,0.09,0.26,0.04,115.4,45.8,0,96,66,22.74,3084,716.8,-4,8.46,0.17,120,146
5.56,24.02666667,0.256666667,73,0.13,0.14,0,118.2,46,0,80,66,20.16,3126,734.2,-4,8.56,0.046,120,145.4
5.593333333,24.12666667,0.217333333,74,0.104,0.58,0.08,113.4,45.8,0,80,66.2,16.84,3020,729,-3.8,8.6,0.038,120,146.4
5.6,24.00666667,0.222666667,68.6,0.178,0.58,0.1,118,45.8,0,74,66.4,18.44,2934,759.6,-4.2,8.56,0.08,120,146.2
5.58,23.98666667,0.221333333,73.2,0.208,0.6,0.12,114.6,46.2,0,76,66.2,17.16,3012,732.8,-4.2,8.54,0.028,120,146.4
5.606666667,24.06666667,0.219333333,72,0.064,0.28,0.1,120.4,46.6,0,74,66.6,22.26,3092,760.4,-4.2,8.66,0.046,120,146.4
5.56,23.94,0.244666667,67,0.128,0.46,0.12,121.8,45.6,0,80,67.4,22.3,2926,735,-4.2,8.6,0.028,120,147
5.513333333,24.01333333,0.294666667,70.6,0.076,0.08,0.04,120,45.8,0,76,67.2,18.56,3030,736.2,-4.2,8.66,0.028,120,146
5.506666667,23.98666667,0.267333333,67,0.114,0.2,0.02,122.6,46,0,82,65.4,23,3140,736.4,-4.2,8.58,0.096,120,146.2
5.493333333,23.96666667,0.259333333,68.6,0.056,0.08,0.1,120,45.8,0,72,65,17.1,3066,730.8,-4.2,8.6,0.082,120,145.6
5.493333333,23.94,0.105333333,75.8,0.016,0.06,0.04,118.8,45.2,0,78,64.8,17.52,2824,731.8,-4.2,8.64,0.318,120,146
5.413333333,23.95333333,0.234,74.4,0.056,0.12,0.04,117.8,46.6,0,74,64,17.2,3090,739,-4.2,8.6,0.07,120,146.6
5.453333333,24.1,0.29,69.4,0.066,0.2,0.02,118,45.4,0,76,64,20.36,2972,735.4,-4.2,8.6,0.14,120,146.6
5.3,23.97333333,0.240666667,66.8,0.166,0.2962,0.18,118.2,46.2,0,100,66.4,20.78,3130,728.4,-4.4,8.62,0.048,120,146.4
5.346666667,24.10666667,0.23,67.2,0.106,0.04,0.02,117.6,47.6,0,132,66.2,17.22,3342,362.2,-4.4,8.6,0.082,120,146.8
5.373333333,23.86666667,0.270666667,66.8,0.1,0.14,0.06,120.6,45,0,94,66,20.9,2840,728.2,-4.4,8.74,0.03,120,146.6
5.266666667,24.02666667,0.249333333,75.4,0.074,0.26,0.04,117.6,46.6,0,88,66,19.18,3110,730.6,-4.4,8.64,0.046,120,146.6
5.49,23.97333333,0.314,72.6,0.14,0.08,0.02,119.8,46.8,0,90,65.6,16.2,3008,731.6,-4.4,8.7,0.062,120,146
5.286666667,23.90666667,0.33,74,0.222,0.28,0.1,119.8,46.8,0,90,65.6,16.2,3008,731.6,-4.4,8.7,0.062,120,146
5.353333333,23.98666667,0.317333333,70.2,0.066,0.22,0.04,119,46.4,0,94,66,21.98,2882,734.8,-4.4,8.72,0.048,120,145.8
5.306666667,23.85333333,0.298666667,72.4,0.138,0.2,0.04,118.6,45.4,0,98,66.2,21.46,2812,741,-4.4,8.7,0.046,120,145.8
5.266666667,23.95333333,0.288666667,70.4,0.102,0.04,0.06,122.2,45.6,0,96,66.2,16.4,2716,727.8,-4.4,8.72,0.312,120,146.6
5.293333333,24.05333333,0.358,70.6,0.13,0.3,0.08,108.8,45.6,0,94,66,19.26,2896,720.8,-4.4,8.7,0.294,120,146.4
5.273333333,23.82,0.300666667,70.2,0.176,0.18,0.02,112.8,45.8,0,94,66.4,17.32,3036,733.2,-4.2,8.7,0.308,120,146.2
